Parameter,A,A,A,B,B,B,C,C,C,D,D,D,E,E,E,Column length,Column angle,I-shaft length,Pinion length,Mounting angle,Offset angle,UJ1 angle,UJ2 angle,diff in UJ angles,Modulation (%)
 ,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z, , , , , , , , , , 
0,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1922.76,237.93,903.69,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,428.83,168.0,69.0,22.0,19.44,19.44,4e-05,5e-05
1,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1924.04,229.08,899.59,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,38.5,430.26,162.0,68.0,19.5,17.45,17.45,5e-05,6e-05
2,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1937.01,243.17,915.59,1866.62,175.0,757.49,1852.0,175.0,764.0,489.0,38.0,409.02,186.0,66.0,21.5,17.81,17.81,0.00011,0.00012
3,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1948.44,238.07,970.58,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,360.71,236.0,69.0,15.5,17.71,17.71,0.00021,0.00023
4,2600.0,300.0,1575.0,2178.17,300.0,1239.46,2000.85,234.02,859.99,1861.85,175.0,751.39,1852.0,175.0,764.0,489.0,38.5,424.03,186.0,38.0,18.5,27.82,27.82,0.00017,0.00031
5,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1937.63,241.0,942.42,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,388.77,208.0,69.0,18.5,18.26,18.26,0.00031,0.00036
6,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1925.53,234.51,910.91,1866.94,175.0,758.27,1852.0,175.0,764.0,489.5,37.5,421.54,174.0,69.0,20.0,18.45,18.46,0.00037,0.00043
7,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1926.14,236.44,897.72,1866.73,175.0,757.75,1852.0,175.0,764.0,489.5,38.0,430.14,164.0,67.0,22.0,18.26,18.26,0.00042,0.00048
8,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1944.62,234.54,950.52,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,38.0,378.31,216.0,68.0,16.0,16.93,16.93,0.00046,0.00049
